"","names","ourls","wons","ids"
"1","Ballina","/products/IDN60801/IDN60801.94596.shtml","94596","IDN60801"
"2","Cape Byron","/products/IDN60801/IDN60801.94599.shtml","94599","IDN60801"
"3","Casino","/products/IDN60801/IDN60801.94573.shtml","94573","IDN60801"
"4","Coolangatta","/products/IDN60801/IDN60801.94592.shtml","94592","IDN60801"
"5","Evans Head","/products/IDN60801/IDN60801.94598.shtml","94598","IDN60801"
"6","Grafton AgRS","/products/IDN60801/IDN60801.95571.shtml","95571","IDN60801"
"7","Grafton Airport","/products/IDN60801/IDN60801.95570.shtml","95570","IDN60801"
"8","Lismore Airport","/products/IDN60801/IDN60801.94572.shtml","94572","IDN60801"
"9","Murwillumbah","/products/IDN60801/IDN60801.94582.shtml","94582","IDN60801"
"10","Yamba","/products/IDN60801/IDN60801.94589.shtml","94589","IDN60801"
"11","Coffs Harbour Airport","/products/IDN60801/IDN60801.95729.shtml","95729","IDN60801"
"12","Dorrigo","/products/IDN60801/IDN60801.94789.shtml","94789","IDN60801"
"13","Forster","/products/IDN60801/IDN60801.95778.shtml","95778","IDN60801"
"14","Kempsey Airport","/products/IDN60801/IDN60801.94785.shtml","94785","IDN60801"
"15","Mount Seaview","/products/IDN60801/IDN60801.94783.shtml","94783","IDN60801"
"16","Port Macquarie Airport","/products/IDN60801/IDN60801.94786.shtml","94786","IDN60801"
"17","Smoky Cape","/products/IDN60801/IDN60801.94790.shtml","94790","IDN60801"
"18","Taree Airport","/products/IDN60801/IDN60801.95784.shtml","95784","IDN60801"
"19","Cessnock Airport","/products/IDN60801/IDN60801.95771.shtml","95771","IDN60801"
"20","Gosford","/products/IDN60801/IDN60801.94782.shtml","94782","IDN60801"
"21","Lake Macquarie - Cooranbong","/products/IDN60801/IDN60801.95767.shtml","95767","IDN60801"
"22","Lostock","/products/IDN60801/IDN60801.95772.shtml","95772","IDN60801"
"23","Maitland Airport","/products/IDN60801/IDN60801.94650.shtml","94650","IDN60801"
"24","Mangrove Mountain","/products/IDN60801/IDN60801.95774.shtml","95774","IDN60801"
"25","Merriwa","/products/IDN60801/IDN60801.95754.shtml","95754","IDN60801"
"26","Murrurundi","/products/IDN60801/IDN60801.94756.shtml","94756","IDN60801"
"27","Murrurundi Gap","/products/IDN60801/IDN60801.95747.shtml","95747","IDN60801"
"28","Nelson Bay","/products/IDN60801/IDN60801.95779.shtml","95779","IDN60801"
"29","Newcastle Nobbys","/products/IDN60801/IDN60801.94774.shtml","94774","IDN60801"
"30","Newcastle University","/products/IDN60801/IDN60801.94781.shtml","94781","IDN60801"
"31","Norah Head","/products/IDN60801/IDN60801.95770.shtml","95770","IDN60801"
"32","Scone Airport","/products/IDN60801/IDN60801.95758.shtml","95758","IDN60801"
"33","Singleton (Defence)","/products/IDN60801/IDN60801.99738.shtml","99738","IDN60801"
"34","Tocal","/products/IDN60801/IDN60801.94775.shtml","94775","IDN60801"
"35","Williamtown","/products/IDN60801/IDN60801.94776.shtml","94776","IDN60801"
"36","Armidale","/products/IDN60801/IDN60801.94773.shtml","94773","IDN60801"
"37","Armidale Airport","/products/IDN60801/IDN60801.95773.shtml","95773","IDN60801"
"38","Glen Innes Airport","/products/IDN60801/IDN60801.94588.shtml","94588","IDN60801"
"39","Guyra","/products/IDN60801/IDN60801.94772.shtml","94772","IDN60801"
"40","Inverell","/products/IDN60801/IDN60801.95541.shtml","95541","IDN60801"
"41","Inverell RS","/products/IDN60801/IDN60801.94541.shtml","94541","IDN60801"
"42","Applethorpe","/products/IDN60801/IDN60801.94553.shtml","94553","IDN60801"
"43","Tenterfield","/products/IDN60801/IDN60801.94556.shtml","94556","IDN60801"
"44","Badgerys Creek","/products/IDN60801/IDN60801.94752.shtml","94752","IDN60801"
"45","Bankstown","/products/IDN60801/IDN60801.94765.shtml","94765","IDN60801"
"46","Camden","/products/IDN60801/IDN60801.94755.shtml","94755","IDN60801"
"47","Campbelltown","/products/IDN60801/IDN60801.94757.shtml","94757","IDN60801"
"48","Canterbury","/products/IDN60801/IDN60801.94766.shtml","94766","IDN60801"
"49","Fort Denison","/products/IDN60801/IDN60801.94769.shtml","94769","IDN60801"
"50","Holsworthy","/products/IDN60801/IDN60801.95761.shtml","95761","IDN60801"
"51","Holsworthy (Defence)","/products/IDN60801/IDN60801.95684.shtml","95684","IDN60801"
"52","Horsley Park","/products/IDN60801/IDN60801.94760.shtml","94760","IDN60801"
"53","Kurnell","/products/IDN60801/IDN60801.95756.shtml","95756","IDN60801"
"54","Little Bay","/products/IDN60801/IDN60801.94780.shtml","94780","IDN60801"
"55","Lucas Heights (ANSTO)","/products/IDN60801/IDN60801.95757.shtml","95757","IDN60801"
"56","North Head","/products/IDN60801/IDN60801.95768.shtml","95768","IDN60801"
"57","Parramatta","/products/IDN60801/IDN60801.94764.shtml","94764","IDN60801"
"58","Penrith","/products/IDN60801/IDN60801.94763.shtml","94763","IDN60801"
"59","Richmond","/products/IDN60801/IDN60801.95753.shtml","95753","IDN60801"
"60","Sydney Airport","/products/IDN60801/IDN60801.94767.shtml","94767","IDN60801"
"61","Sydney - Observatory Hill","/products/IDN60801/IDN60801.94768.shtml","94768","IDN60801"
"62","Sydney Harbour","/products/IDN60801/IDN60801.95766.shtml","95766","IDN60801"
"63","Sydney Olympic Park","/products/IDN60801/IDN60801.95765.shtml","95765","IDN60801"
"64","Terrey Hills","/products/IDN60801/IDN60801.94759.shtml","94759","IDN60801"
"65","Wattamolla","/products/IDN60801/IDN60801.95752.shtml","95752","IDN60801"
"66","Albion Park","/products/IDN60801/IDN60801.95748.shtml","95748","IDN60801"
"67","Bellambi","/products/IDN60801/IDN60801.94749.shtml","94749","IDN60801"
"68","High Range (Wanganderry)","/products/IDN60801/IDN60801.99742.shtml","99742","IDN60801"
"69","Jervis Bay Airfield","/products/IDN60801/IDN60801.94751.shtml","94751","IDN60801"
"70","Kiama","/products/IDN60801/IDN60801.95749.shtml","95749","IDN60801"
"71","Moss Vale","/products/IDN60801/IDN60801.94746.shtml","94746","IDN60801"
"72","Nowra","/products/IDN60801/IDN60801.94750.shtml","94750","IDN60801"
"73","Point Perpendicular","/products/IDN60801/IDN60801.95940.shtml","95940","IDN60801"
"74","Port Kembla Harbour","/products/IDN60801/IDN60801.95745.shtml","95745","IDN60801"
"75","Bega","/products/IDN60801/IDN60801.95931.shtml","95931","IDN60801"
"76","Gabo Island","/products/IDN60801/IDN60801.94933.shtml","94933","IDN60801"
"77","Green Cape","/products/IDN60801/IDN60801.94934.shtml","94934","IDN60801"
"78","Merimbula","/products/IDN60801/IDN60801.95929.shtml","95929","IDN60801"
"79","Montague Island","/products/IDN60801/IDN60801.94939.shtml","94939","IDN60801"
"80","Moruya Airport","/products/IDN60801/IDN60801.95937.shtml","95937","IDN60801"
"81","Moruya Heads","/products/IDN60801/IDN60801.94937.shtml","94937","IDN60801"
"82","Narooma","/products/IDN60801/IDN60801.95935.shtml","95935","IDN60801"
"83","Ulladulla","/products/IDN60801/IDN60801.94938.shtml","94938","IDN60801"
"84","Bathurst","/products/IDN60801/IDN60801.94730.shtml","94730","IDN60801"
"85","Bathurst Airport","/products/IDN60801/IDN60801.94729.shtml","94729","IDN60801"
"86","Gulgong","/products/IDN60801/IDN60801.94732.shtml","94732","IDN60801"
"87","Lithgow","/products/IDN60801/IDN60801.94741.shtml","94741","IDN60801"
"88","Marrangaroo (Defence)","/products/IDN60801/IDN60801.95686.shtml","95686","IDN60801"
"89","Mount Boyce","/products/IDN60801/IDN60801.94743.shtml","94743","IDN60801"
"90","Mudgee","/products/IDN60801/IDN60801.94727.shtml","94727","IDN60801"
"91","Nullo Mountain","/products/IDN60801/IDN60801.94754.shtml","94754","IDN60801"
"92","Oberon","/products/IDN60801/IDN60801.95735.shtml","95735","IDN60801"
"93","Orange AgIn","/products/IDN60801/IDN60801.95725.shtml","95725","IDN60801"
"94","Orange Airport","/products/IDN60801/IDN60801.95726.shtml","95726","IDN60801"
"95","Springwood","/products/IDN60801/IDN60801.95744.shtml","95744","IDN60801"
"96","Braidwood","/products/IDN60801/IDN60801.94927.shtml","94927","IDN60801"
"97","Burrinjuck Dam","/products/IDN60801/IDN60801.94909.shtml","94909","IDN60801"
"98","Canberra","/products/IDN60801/IDN60801.94926.shtml","94926","IDN60801"
"99","Goulburn","/products/IDN60801/IDN60801.94716.shtml","94716","IDN60801"
"100","Goulburn Airport","/products/IDN60801/IDN60801.95716.shtml","95716","IDN60801"
"101","Mount Ginini","/products/IDN60801/IDN60801.95925.shtml","95925","IDN60801"
"102","Nerriga","/products/IDN60801/IDN60801.94943.shtml","94943","IDN60801"
"103","Taralga","/products/IDN60801/IDN60801.94735.shtml","94735","IDN60801"
"104","Tuggeranong","/products/IDN60801/IDN60801.94925.shtml","94925","IDN60801"
"105","Bombala","/products/IDN60801/IDN60801.94928.shtml","94928","IDN60801"
"106","Bombala AWS","/products/IDN60801/IDN60801.94929.shtml","94929","IDN60801"
"107","Cabramurra","/products/IDN60801/IDN60801.95916.shtml","95916","IDN60801"
"108","Cooma","/products/IDN60801/IDN60801.94923.shtml","94923","IDN60801"
"109","Cooma Airport","/products/IDN60801/IDN60801.94921.shtml","94921","IDN60801"
"110","Perisher Valley","/products/IDN60801/IDN60801.94915.shtml","94915","IDN60801"
"111","Thredbo Top Station","/products/IDN60801/IDN60801.95909.shtml","95909","IDN60801"
"112","Thredbo Village","/products/IDN60801/IDN60801.95908.shtml","95908","IDN60801"
"113","Barraba","/products/IDN60801/IDN60801.94761.shtml","94761","IDN60801"
"114","Gunnedah Airport","/products/IDN60801/IDN60801.95740.shtml","95740","IDN60801"
"115","Moree","/products/IDN60801/IDN60801.95527.shtml","95527","IDN60801"
"116","Mungindi","/products/IDN60801/IDN60801.94520.shtml","94520","IDN60801"
"117","Narrabri","/products/IDN60801/IDN60801.95734.shtml","95734","IDN60801"
"118","Pindari Dam","/products/IDN60801/IDN60801.94544.shtml","94544","IDN60801"
"119","Quirindi","/products/IDN60801/IDN60801.95746.shtml","95746","IDN60801"
"120","Tamworth Airport","/products/IDN60801/IDN60801.95762.shtml","95762","IDN60801"
"121","Walgett","/products/IDN60801/IDN60801.95715.shtml","95715","IDN60801"
"122","Woolbrook","/products/IDN60801/IDN60801.94792.shtml","94792","IDN60801"
"123","Brewon","/products/IDN60801/IDN60801.94793.shtml","94793","IDN60801"
"124","Condobolin Airport","/products/IDN60801/IDN60801.95708.shtml","95708","IDN60801"
"125","Coonabarabran","/products/IDN60801/IDN60801.94728.shtml","94728","IDN60801"
"126","Coonabarabran Airport","/products/IDN60801/IDN60801.95728.shtml","95728","IDN60801"
