"","names","ourls","wons","ids","lons","lats","sDate"
"1","Ballina","/products/IDN60801/IDN60801.94596.shtml","94596","IDN60801","153.5585","-28.8353","1992"
"2","Cape Byron","/products/IDN60801/IDN60801.94599.shtml","94599","IDN60801","153.6358","-28.6399","1994"
"3","Casino","/products/IDN60801/IDN60801.94573.shtml","94573","IDN60801","153.0618","-28.8824","1994"
"4","Coolangatta","/products/IDN60801/IDN60801.94592.shtml","94592","IDN60801","153.5053","-28.1681","1982"
"5","Evans Head","/products/IDN60801/IDN60801.94598.shtml","94598","IDN60801","153.3964","-29.183","1998"
"6","Grafton AgRS","/products/IDN60801/IDN60801.95571.shtml","95571","IDN60801","152.9605","-29.6224","1917"
"7","Grafton Airport","/products/IDN60801/IDN60801.95570.shtml","95570","IDN60801","153.0297","-29.7583","1973"
"8","Lismore Airport","/products/IDN60801/IDN60801.94572.shtml","94572","IDN60801","153.2601","-28.8305","2002"
"9","Murwillumbah","/products/IDN60801/IDN60801.94582.shtml","94582","IDN60801","153.3809","-28.3395","1972"
"10","Yamba","/products/IDN60801/IDN60801.94589.shtml","94589","IDN60801","153.3632","-29.4335","1877"
"11","Coffs Harbour Airport","/products/IDN60801/IDN60801.95729.shtml","95729","IDN60801","153.1162","-30.3189","2013"
"12","Dorrigo","/products/IDN60801/IDN60801.94789.shtml","94789","IDN60801","152.7187","-30.3444","1996"
"13","Forster","/products/IDN60801/IDN60801.95778.shtml","95778","IDN60801","152.5089","-32.1756","1896"
"14","Kempsey Airport","/products/IDN60801/IDN60801.94785.shtml","94785","IDN60801","152.7717","-31.0711","2001"
"15","Mount Seaview","/products/IDN60801/IDN60801.94783.shtml","94783","IDN60801","152.2482","-31.3865","1949"
"16","Port Macquarie Airport","/products/IDN60801/IDN60801.94786.shtml","94786","IDN60801","152.8655","-31.4335","1995"
"17","Smoky Cape","/products/IDN60801/IDN60801.94790.shtml","94790","IDN60801","153.0871","-30.9225","1939"
"18","Taree Airport","/products/IDN60801/IDN60801.95784.shtml","95784","IDN60801","152.512","-31.8896","1997"
"19","Cessnock Airport","/products/IDN60801/IDN60801.95771.shtml","95771","IDN60801","151.3377","-32.7886","1968"
"20","Gosford","/products/IDN60801/IDN60801.94782.shtml","94782","IDN60801","151.3614","-33.4351","2013"
"21","Lake Macquarie - Cooranbong","/products/IDN60801/IDN60801.95767.shtml","95767","IDN60801","151.4636","-33.0887","2008"
"22","Lostock","/products/IDN60801/IDN60801.95772.shtml","95772","IDN60801","151.4595","-32.3322","1969"
"23","Maitland Airport","/products/IDN60801/IDN60801.94650.shtml","94650","IDN60801","0","0","0"
"24","Mangrove Mountain","/products/IDN60801/IDN60801.95774.shtml","95774","IDN60801","151.2107","-33.2894","1994"
"25","Merriwa","/products/IDN60801/IDN60801.95754.shtml","95754","IDN60801","150.1737","-32.1852","1969"
"26","Murrurundi","/products/IDN60801/IDN60801.94756.shtml","94756","IDN60801","150.8363","-31.7651","1870"
"27","Murrurundi Gap","/products/IDN60801/IDN60801.95747.shtml","95747","IDN60801","150.7937","-31.7416","2003"
"28","Nelson Bay","/products/IDN60801/IDN60801.95779.shtml","95779","IDN60801","152.1612","-32.7103","1881"
"29","Newcastle Nobbys","/products/IDN60801/IDN60801.94774.shtml","94774","IDN60801","151.7985","-32.9184","1862"
"30","Newcastle University","/products/IDN60801/IDN60801.94781.shtml","94781","IDN60801","151.7068","-32.8906","1998"
"31","Norah Head","/products/IDN60801/IDN60801.95770.shtml","95770","IDN60801","151.5766","-33.2814","1989"
"32","Scone Airport","/products/IDN60801/IDN60801.95758.shtml","95758","IDN60801","150.8264","-32.0335","1988"
"33","Singleton (Defence)","/products/IDN60801/IDN60801.99738.shtml","99738","IDN60801","0","0","0"
"34","Tocal","/products/IDN60801/IDN60801.94775.shtml","94775","IDN60801","151.5919","-32.6296","1967"
"35","Williamtown","/products/IDN60801/IDN60801.94776.shtml","94776","IDN60801","151.8359","-32.7932","1942"
"36","Armidale","/products/IDN60801/IDN60801.94773.shtml","94773","IDN60801","151.6716","-30.5243","1997"
"37","Armidale Airport","/products/IDN60801/IDN60801.95773.shtml","95773","IDN60801","151.6158","-30.5273","1993"
"38","Glen Innes Airport","/products/IDN60801/IDN60801.94588.shtml","94588","IDN60801","151.694","-29.678","1996"
"39","Guyra","/products/IDN60801/IDN60801.94772.shtml","94772","IDN60801","151.6794","-30.2122","1981"
"40","Inverell","/products/IDN60801/IDN60801.95541.shtml","95541","IDN60801","151.1121","-29.7796","1995"
"41","Inverell RS","/products/IDN60801/IDN60801.94541.shtml","94541","IDN60801","151.0819","-29.7752","1949"
"42","Applethorpe","/products/IDN60801/IDN60801.94553.shtml","94553","IDN60801","151.9533","-28.6217","1965"
"43","Tenterfield","/products/IDN60801/IDN60801.94556.shtml","94556","IDN60801","152.0172","-29.0479","1870"
"44","Badgerys Creek","/products/IDN60801/IDN60801.94752.shtml","94752","IDN60801","150.7281","-33.8969","1995"
"45","Bankstown","/products/IDN60801/IDN60801.94765.shtml","94765","IDN60801","150.9864","-33.9181","1968"
"46","Camden","/products/IDN60801/IDN60801.94755.shtml","94755","IDN60801","150.689","-34.039","1943"
"47","Campbelltown","/products/IDN60801/IDN60801.94757.shtml","94757","IDN60801","150.7735","-34.0615","2006"
"48","Canterbury","/products/IDN60801/IDN60801.94766.shtml","94766","IDN60801","151.1134","-33.9057","1995"
"49","Fort Denison","/products/IDN60801/IDN60801.94769.shtml","94769","IDN60801","151.2254","-33.8551","1989"
"50","Holsworthy","/products/IDN60801/IDN60801.95761.shtml","95761","IDN60801","150.9489","-33.9925","2012"
"51","Holsworthy (Defence)","/products/IDN60801/IDN60801.95684.shtml","95684","IDN60801","0","0","0"
"52","Horsley Park","/products/IDN60801/IDN60801.94760.shtml","94760","IDN60801","150.8567","-33.851","1997"
"53","Kurnell","/products/IDN60801/IDN60801.95756.shtml","95756","IDN60801","151.2111","-34.0039","2000"
"54","Little Bay","/products/IDN60801/IDN60801.94780.shtml","94780","IDN60801","151.2502","-33.9829","1925"
"55","Lucas Heights (ANSTO)","/products/IDN60801/IDN60801.95757.shtml","95757","IDN60801","150.9825","-34.0519","1999"
"56","North Head","/products/IDN60801/IDN60801.95768.shtml","95768","IDN60801","151.2986","-33.8152","1997"
"57","Parramatta","/products/IDN60801/IDN60801.94764.shtml","94764","IDN60801","151.0181","-33.7917","1965"
"58","Penrith","/products/IDN60801/IDN60801.94763.shtml","94763","IDN60801","150.6783","-33.7195","1995"
"59","Richmond","/products/IDN60801/IDN60801.95753.shtml","95753","IDN60801","150.7761","-33.6004","1993"
"60","Sydney Airport","/products/IDN60801/IDN60801.94767.shtml","94767","IDN60801","151.1731","-33.9465","1929"
"61","Sydney - Observatory Hill","/products/IDN60801/IDN60801.94768.shtml","94768","IDN60801","151.205","-33.8607","1858"
"62","Sydney Harbour","/products/IDN60801/IDN60801.95766.shtml","95766","IDN60801","151.2643","-33.8405","1996"
"63","Sydney Olympic Park","/products/IDN60801/IDN60801.95765.shtml","95765","IDN60801","151.0718","-33.8338","2011"
"64","Terrey Hills","/products/IDN60801/IDN60801.94759.shtml","94759","IDN60801","151.2253","-33.6908","2004"
"65","Wattamolla","/products/IDN60801/IDN60801.95752.shtml","95752","IDN60801","151.1185","-34.1407","2007"
"66","Albion Park","/products/IDN60801/IDN60801.95748.shtml","95748","IDN60801","150.79","-34.5638","1999"
"67","Bellambi","/products/IDN60801/IDN60801.94749.shtml","94749","IDN60801","150.9291","-34.3691","1988"
