"SiteID","Active","SensorID","sensorName","StartDate","EndDate","DataType","UpperDepth","LowerDepth","Calibrated","Units","TotalDays","IsActive","NumGaps","TotalGapDays","Gapiness","MinimumValue","MaximumValue","MeanValue","StandardDeviation","HarvestDate"
opSID_20610,TRUE,306323,"19 Rainfall",NA,NA,"Rainfall",0,0,FALSE,"mm",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456114,"Soil Moisture 40cm",NA,NA,"Soil-Moisture",40,40,FALSE,"Percent",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456113,"Soil Moisture 30cm",NA,NA,"Soil-Moisture",30,30,FALSE,"Percent",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456112,"Soil Moisture 20cm",NA,NA,"Soil-Moisture",20,20,FALSE,"Percent",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456139,"Temperature 20cm",NA,NA,"Soil-Temperature",20,20,FALSE,"DegreesCelcius",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456140,"Temperature 30cm",NA,NA,"Soil-Temperature",30,30,FALSE,"DegreesCelcius",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456141,"Temperature 40cm",NA,NA,"Soil-Temperature",40,40,FALSE,"DegreesCelcius",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456142,"Temperature 50cm",NA,NA,"Soil-Temperature",50,50,FALSE,"DegreesCelcius",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456143,"Temperature 60cm",NA,NA,"Soil-Temperature",60,60,FALSE,"DegreesCelcius",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456144,"Temperature 70cm",NA,NA,"Soil-Temperature",70,70,FALSE,"DegreesCelcius",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456145,"Temperature 80cm",NA,NA,"Soil-Temperature",80,80,FALSE,"DegreesCelcius",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456146,"Temperature 90cm",NA,NA,"Soil-Temperature",90,90,FALSE,"DegreesCelcius",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456147,"Temperature 100cm",NA,NA,"Soil-Temperature",100,100,FALSE,"DegreesCelcius",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456115,"Soil Moisture 50cm",NA,NA,"Soil-Moisture",50,50,FALSE,"Percent",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456116,"Soil Moisture 60cm",NA,NA,"Soil-Moisture",60,60,FALSE,"Percent",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456117,"Soil Moisture 70cm",NA,NA,"Soil-Moisture",70,70,FALSE,"Percent",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456118,"Soil Moisture 80cm",NA,NA,"Soil-Moisture",80,80,FALSE,"Percent",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
opSID_20610,TRUE,456119,"Soil Moisture 90cm",NA,NA,"Soil-Moisture",90,90,FALSE,"Percent",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
