"SiteID","SensorID","UpperDepth","LowerDepth","DataType","StartDate","EndDate","TotalDays","IsActive","NumGaps","TotalGapDays","Gapiness","MinimumValue","MaximumValue","MeanValue","StandardDeviation","MetaDataHarvestDate"
"BCG_Banyena","Humidity","0","0","Humidity","2017-02-24T00:00:00","2019-06-26T23:59:59",852,TRUE,0,0,0,0,0,0,0,2019-06-28
"BCG_Banyena","Rainfall","0","0","Rainfall","2017-02-24T00:00:00","2019-06-26T23:59:59",852,TRUE,0,0,0,0,0,0,0,2019-06-28
"BCG_Banyena","Temperature","0","0","Temperature","2017-02-24T00:00:00","2019-06-26T23:59:59",852,TRUE,0,0,0,0,0,0,0,2019-06-28
"Cosmoz_1","Cosmoz1_Rainfall","0","0","Rainfall","2011-03-30T00:00:00","2014-03-13T23:59:59",1079,FALSE,1,2,0.185185185185185,0,76,1.42910101946247,5.46048091183248,2019-06-28
"Cosmoz_1","Cosmoz1_SoilMoisture","0","300","Soil-Moisture","2011-03-30T00:00:00","2014-03-13T23:59:59",1079,FALSE,1,2,0.185185185185185,0.7051,56.6617,17.3936816496756,10.8242082496331,2019-06-28
"Cosmoz_10","Cosmoz10_Rainfall","0","0","Rainfall","2010-12-01T00:00:00","2019-06-12T23:59:59",3115,TRUE,5,23,0.738125802310655,0,184.4,2.01032924467398,9.7826530204024,2019-06-28
"Cosmoz_10","Cosmoz10_SoilMoisture","0","300","Soil-Moisture","2010-12-01T00:00:00","2019-06-12T23:59:59",3115,TRUE,5,23,0.738125802310655,3.5209,43.3227,12.0063756939961,6.73153134397354,2019-06-28
"Cosmoz_11","Cosmoz11_Rainfall","0","0","Rainfall","2011-04-01T00:00:00","2019-06-12T23:59:59",2994,TRUE,1,3,0.10016694490818,0,90.4,0.761844303374541,3.62930376177982,2019-06-28
"Cosmoz_11","Cosmoz11_SoilMoisture","0","300","Soil-Moisture","2011-04-01T00:00:00","2019-06-12T23:59:59",2994,TRUE,1,3,0.10016694490818,0.6652,123.4597,18.8739391246241,13.7103820362267,2019-06-28
"Cosmoz_12","Cosmoz12_Rainfall","0","0","Rainfall","2014-08-23T00:00:00","2019-06-12T23:59:59",1754,TRUE,1,3,0.170940170940171,0,101,2.66537364517969,7.76203396899075,2019-06-28
"Cosmoz_12","Cosmoz12_SoilMoisture","0","300","Soil-Moisture","2014-08-23T00:00:00","2019-06-12T23:59:59",1754,TRUE,1,3,0.170940170940171,6.5502,28.2152,16.3356501996577,3.8074093322285,2019-06-28
"Cosmoz_13","Cosmoz13_Rainfall","0","0","Rainfall","2013-12-05T00:00:00","2019-05-09T23:59:59",1981,FALSE,49,978,49.3440968718466,0,115.6,2.03817663817664,6.4803905214867,2019-06-28
"Cosmoz_13","Cosmoz13_SoilMoisture","0","300","Soil-Moisture","2013-12-05T00:00:00","2019-05-09T23:59:59",1981,FALSE,49,978,49.3440968718466,-3.9117,39.6483,18.1854179487179,6.71864978408668,2019-06-28
"Cosmoz_15","Cosmoz15_Rainfall","0","0","Rainfall","2015-07-01T00:00:00","2019-04-29T23:59:59",1398,FALSE,2,17,1.21515368120086,0,37.6,1.33179190751445,3.63554011897355,2019-06-28
"Cosmoz_15","Cosmoz15_SoilMoisture","0","300","Soil-Moisture","2015-07-01T00:00:00","2019-04-29T23:59:59",1398,FALSE,2,17,1.21515368120086,-1.7192,68.3084,28.3070068641618,14.2952497930188,2019-06-28
"Cosmoz_18","Cosmoz18_Rainfall","0","0","Rainfall","2016-04-11T00:00:00","2019-06-12T23:59:59",1157,TRUE,5,266,22.9706390328152,0,58.2,1.01070234113712,4.24368980831565,2019-06-28
"Cosmoz_18","Cosmoz18_SoilMoisture","0","300","Soil-Moisture","2016-04-11T00:00:00","2019-06-12T23:59:59",1157,TRUE,5,266,22.9706390328152,0.5407,31.1657,12.6527334448161,5.2307521375115,2019-06-28
