SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
SFS_66,1,3,SFS2 - Yatchaw_Soil-Moisture_100,2012-09-04T01:54:46.000Z,2017-05-22T22:57:28.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_25,1,4,SFS1 - Werneth 1_Soil-Moisture_100,2012-08-28T14:15:00.000Z,2016-07-10T20:00:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_26,1,7,SFS3 - Winchelsea1_Soil-Moisture_100,2011-06-18T06:45:00.000Z,2016-07-19T23:00:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_27,1,8,SFS6 - Lake Bolac2_Soil-Moisture_100,2012-08-29T05:15:00.000Z,2015-04-01T02:08:57.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_77,1,9,SFS7 - Benham_Soil-Moisture_100,2013-05-23T06:45:12.000Z,2013-05-23T06:45:12.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_17,1,11,SFS11 - Ballan1_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2016-08-09T03:53:59.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_59,1,12,SFS9 - Wingeel_Soil-Moisture_100,2014-07-05T03:15:00.000Z,2015-08-01T04:15:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_15,1,13,SFS13 - Lethbridge_Soil-Moisture_100,2011-06-18T06:45:00.000Z,2018-08-17T03:30:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_32,1,17,SFS33 - Dutson Downs_Soil-Moisture_100,2013-04-30T14:15:00.000Z,2017-07-30T06:15:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_1,1,18,SFS18 - Derrinallum1_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2016-07-20T22:15:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_55,1,19,SFS16 - Skipton_Soil-Moisture_100,2013-12-03T12:00:00.000Z,2018-10-07T20:15:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_3,1,20,SFS22 - Derrinallum2_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2016-07-20T22:00:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_41,1,21,SFS19 - Duverney_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2016-02-06T05:45:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_28,1,22,SFS20 - Inverleigh1_Soil-Moisture_100,2013-04-23T14:15:00.000Z,2017-04-04T04:00:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_2,1,23,SFS21 - Lismore1_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2016-07-20T22:00:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_31,1,24,SFS30 - Lidenow_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2016-07-17T02:15:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_7,1,25,SFS29 - Meerlieu_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2015-07-10T07:00:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_30,1,26,SFS28 - Derrinallum3_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2016-07-20T22:00:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_9,1,27,SFS27 - Mininera_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2016-07-18T05:00:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_10,1,28,SFS32 - Tatyoon2_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2016-07-16T23:15:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_12,1,29,SFS36 - Langi Logan_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2015-04-26T04:15:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_6,1,30,SFS25 - Vite Vite_Soil-Moisture_100,2013-07-27T04:00:00.000Z,2017-06-06T00:15:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_65,1,31,SFS34 - Rosedale_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2018-08-02T02:00:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_11,1,32,SFS35 - Tatyoon1_Soil-Moisture_100,2013-05-01T14:15:00.000Z,2017-05-01T07:15:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_29,1,33,SFS26 - Winchelsea2_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2015-01-21T22:15:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_43,1,35,SFS37 - Werneth 2_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2016-07-20T05:42:44.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_69,1,36,SFS23 - Chatsworth_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2015-02-01T00:15:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_56,1,38,SFS45 - Learmonth_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2015-11-24T00:00:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_48,1,39,SFS47 - Wickliffe2_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2015-05-26T02:30:00.000Z,Soil-Moisture,100,100,TRUE,mm
SFS_13,1,40,SFS38 - Westmere_Soil-Moisture_100,2014-03-26T16:00:00.000Z,2016-07-19T00:00:00.000Z,Soil-Moisture,100,100,TRUE,mm
