System_time,Server,Request_method,HTTP_user_agent,QUERY_STRING,REMOTE_ADDR
2019-02-28 18:04:15,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-28 18:04:15,FANCY-DP,GET/__swagger__/swagger-ui.css,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-28 18:04:15,FANCY-DP,GET/__swagger__/swagger-ui-bundle.js,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-28 18:04:16,FANCY-DP,GET/__swagger__/swagger-ui-standalone-preset.js,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-28 18:04:16,FANCY-DP,GET/openapi.json,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-28 18:04:39,FANCY-DP,GET/SensorAPI/getSensorLocations,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1,127.0.0.1 
2019-02-28 18:05:10,FANCY-DP,GET/SensorAPI/getSensorInfo,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1,127.0.0.1 
2019-02-28 18:06:49,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01%2000%3A00%3A00&enddate=2001-12-010%2000%3A00%3A00,127.0.0.1 
2019-02-28 18:07:10,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01T00%3A00%3A00&enddate=2001-12-010T00%3A00%3A00,127.0.0.1 
2019-02-28 18:07:45,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01T00%3A00%3A00&enddate=2001-12-10T00%3A00%3A00,127.0.0.1 
2019-02-28 18:10:54,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01T00%3A00%3A00&enddate=2001-12-10T00%3A00%3A00,127.0.0.1 
2019-02-28 18:12:07,FANCY-DP,GET/SensorAPI/getSensorLocationsAsMap,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-28 18:13:43,FANCY-DP,GET/SensorAPI/getSensorLocationsAsMap,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?sensortype=Soil-Moiture,127.0.0.1 
2019-02-28 18:13:59,FANCY-DP,GET/SensorAPI/getSensorLocationsAsMap,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?sensortype=Soil-Moisture,127.0.0.1 
2019-02-28 18:14:57,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01T00%3A00%3A00&enddate=2001-12-10T00%3A00%3A00&aggperiod=days,127.0.0.1 
2019-02-28 18:22:59,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01T00%3A00%3A00&enddate=2004-12-10T00%3A00%3A00&aggperiod=days,127.0.0.1 
2019-02-28 18:24:00,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01T00%3A00%3A00&enddate=2008-12-10T00%3A00%3A00&aggperiod=days,127.0.0.1 
2019-02-28 18:26:13,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01T00%3A00%3A00&enddate=2008-12-10T00%3A00%3A00&aggperiod=days,127.0.0.1 
2019-02-28 18:26:46,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01T00%3A00%3A00&enddate=2001-12-10T00%3A00%3A00,127.0.0.1 
