System_time,Server,Request_method,HTTP_user_agent,QUERY_STRING,REMOTE_ADDR
2019-03-01 07:59:41,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-03-01 07:59:41,FANCY-DP,GET/__swagger__/swagger-ui.css,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-03-01 07:59:41,FANCY-DP,GET/__swagger__/swagger-ui-bundle.js,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-03-01 07:59:41,FANCY-DP,GET/__swagger__/swagger-ui-standalone-preset.js,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-03-01 07:59:41,FANCY-DP,GET/openapi.json,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-03-01 08:00:06,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1,127.0.0.1 
2019-03-01 08:00:20,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture,127.0.0.1 
2019-03-01 08:06:22,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture,127.0.0.1 
2019-03-01 08:07:23,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture,127.0.0.1 
2019-03-01 08:09:23,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01T00%3A00%3A00&enddate=2001-12-05T00%3A00%3A00,127.0.0.1 
2019-03-01 08:09:46,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01T00%3A00%3A00&enddate=2001-12-05T00%3A00%3A00,127.0.0.1 
2019-03-01 08:09:47,FANCY-DP,GET/favicon.ico,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-03-01 08:10:01,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=OzNet_m1&sensortype=Soil-Moisture&startdate=2001-12-01T00%3A00%3A00&enddate=2002-01-05T00%3A00%3A00,127.0.0.1 
